model,serial_number,production_year,location,geolocation,last_service,next_service
HS 6040C,144961,2016,Fujairah Naval Base,https://maps.app.goo.gl/rbjhRamVSZ85hsLfA?g_st=iw,2025-02-10,2025-06-15
HS6040i,28097,2002,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,27800,2003,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,28311,2003,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,29741,2004,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,120669,2005,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,6959,2006,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,74639,2007,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,74634,2007,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,81532,2009,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,114942,2012,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,115976,2012,Mahwi Military School,,2025-02-19,2025-04-24
HS 6040C,145275,2016,Mahwi Military School,,2025-02-19,2025-04-24
HS 6040C,150655,2018,Mahwi Military School,,2025-02-19,2025-04-24
HS6040i,74638,2007,Al Dhafra (Liwa Airbase),https://maps.app.goo.gl/vvUcRo96861VXDmJ8,2025-04-29,2025-07-28
HS6040i,74641,2007,Al Dhafra (Liwa Airbase),https://maps.app.goo.gl/vvUcRo96861VXDmJ8,2025-04-29,2025-07-28
HS 6040C,150634,2018,AlHamra Camp,https://maps.app.goo.gl/Nh9WbHzdVkRs6jtb7?g_st=it,2025-02-20,2025-06-15
HS6040i,73901,2007,Al Dhaid Military School,,2025-02-26,2025-05-04
HS6040i,28049,2003,Al Dhaid Military School,,2025-02-26,2025-06-15
HS6040i,77700,2008,AlMehad Airbase,,2025-04-21,2025-07-21
HS6040i,77704,2008,AlMehad Airbase,,2025-04-21,2025-07-21
HS6040i,120668,2014,AlReef Airport,https://maps.app.goo.gl/SmmepB973zyE7XZSA?g_st=iw,2025-03-05,2025-09-15
HS 6040C,150646,2018,AlManama Training Center,https://maps.app.goo.gl/xyCesd5MJVpZpjV5A?g_st=iw,2025-03-14,2025-06-15
HS 6040C,144972,2016,Naval Institute - Taweela,https://maps.app.goo.gl/MkXizegv48mZfUFA7,2025-03-17,2025-06-15
HS 6040C,206752,2023,National Service - Seih Hafeir,,2025-03-16,2025-06-14
